f1 f2 algorithm prob
974.079082550015 879.691502768546 EMOA prob1
974.079082550015 879.691502768546 EMOA prob1
587.92700084392 1207.19089224935 EMOA prob1
587.92700084392 1207.19089224935 EMOA prob1
937.007297312375 882.105616983026 EMOA prob1
728.741811965592 954.63572114706 EMOA prob1
590.892004409106 1190.90336050838 EMOA prob1
594.687800226966 1139.02058353648 EMOA prob1
680.190000253497 1028.45752768219 EMOA prob1
843.597737313248 905.474162753671 EMOA prob1
689.290224190336 987.948370985687 EMOA prob1
874.625727889361 903.284383472055 EMOA prob1
597.652803792153 1122.73305179551 EMOA prob1
974.079082550015 879.691502768546 EMOA prob1
641.942436406389 1056.6813547723 EMOA prob1
755.383064224152 941.368757802993 EMOA prob1
755.383064224152 941.368757802993 EMOA prob1
892.248646126827 892.633377239108 EMOA prob1
644.907439971576 1040.39382303134 EMOA prob1
621.335223551141 1069.39139537513 EMOA prob1
925.428173736436 892.53228828311 EMOA prob1
602.490848631132 1089.99400461093 EMOA prob1
719.630306344479 981.904999427497 EMOA prob1
684.795545719098 1012.66134945676 EMOA prob1
728.454302639002 974.793794229627 EMOA prob1
804.433658864582 918.628739509732 EMOA prob1
829.829702954739 916.277885697782 EMOA prob1
777.792406606022 931.895702853799 EMOA prob1
843.198051486397 915.37339553237 EMOA prob1
794.547142672818 928.214181046933 EMOA prob1
777.792406606022 931.895702853799 EMOA prob1
888.356388498796 894.94640249759 EMOA prob1
925.428173736436 892.53228828311 EMOA prob1
602.490848631132 1089.99400461093 EMOA prob1
790.665624506073 929.432462453842 EMOA prob1
621.335223551141 1069.39139537513 EMOA prob1
804.433658864582 918.628739509732 EMOA prob1
597.652803792153 1122.73305179551 EMOA prob1
644.907439971576 1040.39382303134 EMOA prob1
590.892004409106 1190.90336050838 EMOA prob1
705.169595545158 983.633293490857 EMOA prob1
684.071518420242 1027.23924627528 EMOA prob1
587.92700084392 1207.19089224935 EMOA prob1
605.455852196319 1073.70647286996 EMOA prob1
594.687800226966 1139.02058353648 EMOA prob1
874.625727889361 903.284383472055 EMOA prob1
605.455852196319 1073.70647286996 EMOA prob1
705.169595545158 983.633293490857 EMOA prob1
641.942436406389 1056.6813547723 EMOA prob1
684.795545719098 1012.66134945676 EMOA prob1
974.079082550015 879.691502768546 EMOA.SCAL prob1
587.92700084392 1207.19089224935 EMOA.SCAL prob1
974.079082550015 879.691502768546 EMOA.SCAL prob1
587.92700084392 1207.19089224935 EMOA.SCAL prob1
937.007297312375 882.105616983026 EMOA.SCAL prob1
923.173777108314 891.549997068942 EMOA.SCAL prob1
590.892004409106 1190.90336050838 EMOA.SCAL prob1
594.687800226966 1139.02058353648 EMOA.SCAL prob1
728.741811965592 954.63572114706 EMOA.SCAL prob1
874.522868294735 904.390782583505 EMOA.SCAL prob1
665.281489797635 1011.36576706544 EMOA.SCAL prob1
892.248646126827 892.633377239108 EMOA.SCAL prob1
597.652803792153 1122.73305179551 EMOA.SCAL prob1
676.043370701373 1002.4138812162 EMOA.SCAL prob1
685.888702652883 998.655726462603 EMOA.SCAL prob1
602.490848631132 1089.99400461093 EMOA.SCAL prob1
632.097104454879 1060.4395095259 EMOA.SCAL prob1
649.402118442813 1015.68084456027 EMOA.SCAL prob1
843.597737313248 905.474162753671 EMOA.SCAL prob1
888.356388498796 894.94640249759 EMOA.SCAL prob1
804.433658864582 918.628739509732 EMOA.SCAL prob1
715.494958476629 969.101231377572 EMOA.SCAL prob1
829.764217109187 914.918542839587 EMOA.SCAL prob1
790.200452833669 937.972352374345 EMOA.SCAL prob1
755.383064224152 941.368757802993 EMOA.SCAL prob1
829.764217109187 914.918542839587 EMOA.SCAL prob1
790.60013866052 928.073119595647 EMOA.SCAL prob1
755.383064224152 941.368757802993 EMOA.SCAL prob1
715.494958476629 969.101231377572 EMOA.SCAL prob1
776.832104302011 938.876842539757 EMOA.SCAL prob1
741.54954402009 950.813137888908 EMOA.SCAL prob1
644.907439971576 1040.39382303134 EMOA.SCAL prob1
644.907439971576 1040.39382303134 EMOA.SCAL prob1
632.097104454879 1060.4395095259 EMOA.SCAL prob1
605.455852196319 1073.70647286996 EMOA.SCAL prob1
597.652803792153 1122.73305179551 EMOA.SCAL prob1
688.853706218069 982.368194721639 EMOA.SCAL prob1
594.687800226966 1139.02058353648 EMOA.SCAL prob1
602.490848631132 1089.99400461093 EMOA.SCAL prob1
619.568229162833 1068.3127682656 EMOA.SCAL prob1
